Retention_time,StorageNodeVoltage
0.09419,1.43171270913657
1.06199,1.43242014785469
1.974,1.43266775140603
2.88566,1.43278271019773
3.79769,1.43281808213363
4.71112,1.40686392416257
5.62307,1.40650136181953
6.53505,1.40618301439638
7.44677,1.40586466697322
8.35856,1.405572848502
9.27362,1.40528103003077
10.18568,1.40504226946341
11.09768,1.40477697994411
12.00964,1.40450284744084
12.9216,1.40428177284143
13.83332,1.40406069824201
14.74496,1.40382193767465
15.65669,1.40365392097909
16.5684,1.40346821831559
17.48018,1.4032383007322
18.39209,1.40303491210074
19.30388,1.40284036645326
20.21585,1.40264582080577
21.12779,1.40249549007817
22.03978,1.40228325846274
22.95165,1.40210639878321
23.86355,1.40192953910368
24.77523,1.40175267942414
25.68682,1.40156697676064
26.59871,1.40143433200099
27.51031,1.40125747232146
28.42228,1.40108945562591
29.33427,1.4009037529624
30.24621,1.40077110820275
31.1581,1.40064730642708
32.06973,1.40047044674755
32.98169,1.40031127303597
33.89362,1.40016094230837
34.80526,1.40001945456475
35.7169,1.39984026705912
36.62895,1.39969668688754
37.54101,1.39953515919452
38.45304,1.39942747406583
39.36491,1.39928389389425
40.27656,1.3991492874834
41.18822,1.39898775979037
42.10023,1.39884417961879
43.01191,1.39870957320794
43.92391,1.39855701927564
44.83552,1.39840446534334
45.7475,1.39832370149682
46.65941,1.39817114756452
47.57103,1.3980096198715
48.48273,1.39785706593919
49.39464,1.39773143328906
50.30629,1.3976327219211
51.21822,1.39746222046735
52.13011,1.39735453533867
53.04174,1.39721992892781
53.95345,1.39707634875624
54.86519,1.39696866362755
55.7769,1.3967981621738
56.68858,1.39670842456657
57.60054,1.39654689687354
58.51251,1.39643023798413
59.42451,1.39628665781256
60.33653,1.39616102516243
61.24849,1.39603539251229
62.16013,1.39589181234072
63.07177,1.39580207473348
63.98351,1.39568541584407
64.89515,1.39556875695466
65.80698,1.39546107182598
66.71895,1.3953533866973
67.63061,1.395200832765
68.54256,1.39510212139703
69.45424,1.39499443626835
70.36621,1.39484188233605
71.27783,1.39475214472881
72.18982,1.39463548583941
73.10181,1.39450087942855
74.01388,1.39441114182131
74.92551,1.39428550917118
75.83749,1.39415987652105
76.74947,1.39403424387092
77.66135,1.39391758498151
78.57302,1.39380092609211
79.48467,1.3936842672027
80.39636,1.39358555583474
81.30827,1.39348684446678
82.22021,1.39336121181665
83.13213,1.39324455292724
84.04386,1.39310994651639
84.9555,1.3930022613877
85.86747,1.39290355001974
86.77923,1.39277791736961
87.69121,1.39264331095876
88.60321,1.3925445995908
89.51489,1.39245486198356
90.42687,1.39234717685488
91.33887,1.39222154420475
92.25046,1.39209591155461
93.16217,1.39199720018665
94.07391,1.39190746257942
94.98556,1.39180875121146
95.89745,1.3916741448006
96.8093,1.39157543343264
97.72121,1.39146774830396
98.63294,1.39135108941455
99.54459,1.39123443052514
100.45623,1.39113571915718
101.36819,1.39103700778922
102.28011,1.39096521770344
103.19177,1.39084855881403
104.10344,1.39074087368534
105.01541,1.39062421479594
105.9274,1.39051652966725
106.83904,1.39043576582074
107.75065,1.39032808069206
108.6627,1.39021142180265
109.57467,1.39011271043469
110.48653,1.39002297282745
111.39814,1.38991528769877
112.30975,1.38981657633081
113.22169,1.38971786496285
114.13338,1.38959223231272
115.0454,1.38950249470548
115.95735,1.38943070461969
116.86904,1.38932301949101
117.78066,1.38918841308015
118.69257,1.38910764923364
119.60457,1.38902688538713
120.51621,1.38889227897627
121.42812,1.38884741017266
122.33981,1.38869485624035
123.2518,1.38859614487239
124.16377,1.38853332854733
125.0755,1.38839872213647
125.98719,1.38831795828996
126.89888,1.38820129940055
127.81089,1.38809361427187
128.7228,1.38801285042536
129.63442,1.38789619153595
130.54609,1.38780645392871
131.45783,1.38765389999641
132.36944,1.38759108367134
133.2813,1.387537241107
134.19328,1.38742955597832
135.10512,1.38732187084964
136.01695,1.38718726443878
136.92883,1.38710650059227
137.84086,1.38702573674576
138.7528,1.38696292042069
139.66442,1.38687318281345
140.57636,1.38674755016332
141.48834,1.38664883879536
142.40035,1.38656807494885
143.312,1.38644244229872
144.22371,1.38637065221293
145.13539,1.3862450195628
146.04702,1.38615528195556
146.95874,1.38611041315194
147.87037,1.38594888545892
148.78226,1.38588606913385
149.69422,1.38579633152662
150.60613,1.38567967263721
151.51811,1.3855989087907
152.42979,1.38551814494418
153.34179,1.38543738109767
154.25371,1.38533866972971
155.16537,1.38523995836175
156.0773,1.38513227323307
156.98892,1.38506048314728
157.9009,1.38496177177932
158.81283,1.38483613912919
159.72447,1.38473742776123
160.63613,1.38468358519688
161.5478,1.3845759000682
162.45972,1.38447718870024
163.37162,1.38441437237517
164.2833,1.38432463476794
165.19494,1.3842348971607
166.10686,1.38414515955347
167.01857,1.38401952690333
167.93025,1.38396568433899
168.84214,1.38385799921031
169.75381,1.38379518288524
170.66575,1.38365160271367
171.5776,1.38362468143149
172.48932,1.38354391758498
173.40126,1.38342725869557
174.31314,1.38333752108834
175.22499,1.38323880972038
176.13661,1.38316701963459
177.04856,1.38307728202735
177.96019,1.38298754442012
178.87184,1.38292472809505
179.78358,1.38279909544492
180.69549,1.3827542266413
181.60751,1.38261064646972
182.51922,1.3825657776661
183.43093,1.38245809253742
184.34294,1.38238630245163
185.25486,1.38226964356222
186.16659,1.38217990595499
187.07848,1.3820722208263
187.99035,1.38198248321907
188.90224,1.38193761441545
189.81423,1.38184787680821
190.72596,1.38174916544025
191.638,1.38165942783302
192.54991,1.38159661150795
193.46156,1.38150687390071
194.37354,1.38141713629348
195.28546,1.38132739868624
196.19707,1.38124663483973
197.10904,1.38118381851466
198.021,1.38109408090743
198.93288,1.38098639577874
199.84453,1.38089665817151
200.75614,1.38081589432499
201.66801,1.38075307799993
202.57992,1.38067231415342
203.49185,1.3805915503069
204.40356,1.38052873398184
205.31521,1.38043002261388
206.22722,1.38031336372447
207.13928,1.38026849492085
208.05131,1.38017875731362
208.96303,1.38010696722783
209.87469,1.37998133457769
210.78661,1.37992749201335
211.69855,1.37985570192756
212.61022,1.37976596432033
213.52214,1.37968520047381
214.43413,1.3796044366273
215.3458,1.37949675149862
216.25773,1.37939804013066
217.16969,1.37931727628415
218.08172,1.37920959115546
218.99374,1.37909293226605
219.90561,1.37906601098388
220.81729,1.37896729961592
221.72893,1.37889550953013
222.64084,1.37879679816217
223.55286,1.37875192935856
224.4645,1.37868013927277
225.37644,1.37855450662264
226.28842,1.37853655910119
227.20014,1.37845579525468
228.11182,1.37836605764744
229.02381,1.37828529380093
229.93581,1.37818658243297
230.84977,1.37806992354356
231.76141,1.37799813345777
232.67311,1.37795326465415
233.58498,1.37782763200402
234.49698,1.37774686815751
235.40867,1.37768405183244
236.32057,1.3776302092681
237.2325,1.37756739294303
238.14444,1.37749560285725
239.05607,1.3774417602929
239.96798,1.37738791772856
240.87987,1.37728023259988
241.79152,1.37719049499264
242.70354,1.37710973114613
243.6152,1.37704691482106
244.52686,1.376984098496
245.43878,1.37689436088876
246.3504,1.37681359704225
247.26226,1.37670591191356
248.174,1.3766430955885
249.08585,1.37653541045982
249.9975,1.3764905416562
250.90936,1.37638285652751
251.82134,1.376302092681
252.73335,1.37622132883449
253.64528,1.3761495387487
254.55695,1.37604185362001
255.4689,1.37602390609857
256.38083,1.3759610897735
