2000,0.3137
4000,0.4863
6000,0.4138
8000,0.4125
10000,0.4025
12000,0.3625
2000,0.2750
2000,0.2537
2000,0.2838
2000,0.3713
2000,0.2400
2000,0.3063
4000,0.2800
4000,0.3275
4000,0.2938
4000,0.3387
4000,0.2400
4000,0.3650
6000,0.2675
6000,0.3400
6000,0.4512
6000,0.4263
6000,0.2800
6000,0.4750
8000,0.2612
8000,0.2988
8000,0.3000
8000,0.4163
8000,0.2725
8000,0.3575
10000,0.2825
10000,0.4200
10000,0.3987
10000,0.3000
10000,0.3463
10000,0.2800
12000,0.2725
12000,0.3200
12000,0.2963
12000,0.2525
12000,0.2700
12000,0.2737
14000,0.2600
14000,0.2850
14000,0.4800
14000,0.3688
14000,0.2925
14000,0.2963
16000,0.3212
16000,0.2850
16000,0.6212
16000,0.2537
16000,0.3725
16000,0.2375
18000,0.3350
18000,0.2725
18000,0.4412
18000,0.2575
20000,0.2863
20000,0.2450
20000,0.4188
20000,0.2775
22000,0.2775
22000,0.2338
22000,0.2587
24000,0.2650
24000,0.3287
24000,0.2487
26000,0.2625
2000,0.6162
2000,0.5238
2000,0.5675
2000,0.2225
2000,0.5112
2000,0.5088
4000,0.5275
4000,0.5188
4000,0.6312
4000,0.3862
4000,0.5663
4000,0.6350
6000,0.6600
6000,0.5375
6000,0.6937
6000,0.4113
6000,0.5400
6000,0.6813
8000,0.2375
8000,0.5238
8000,0.6787
8000,0.4338
8000,0.6575
8000,0.4988
10000,0.4850
10000,0.5363
10000,0.7037
10000,0.3038
10000,0.5238
10000,0.5112
12000,0.4288
12000,0.5100
12000,0.5537
12000,0.3412
12000,0.5450
12000,0.5800
14000,0.4587
14000,0.5463
14000,0.6350
14000,0.3800
14000,0.5375
14000,0.7087
16000,0.5188
16000,0.5563
16000,0.6813
16000,0.3425
16000,0.7600
18000,0.5737
18000,0.6787
18000,0.3450
18000,0.7588
20000,0.5513
20000,0.6613
20000,0.7462
22000,0.5537
22000,0.6275
24000,0.5387
24000,0.6900
26000,0.5687
26000,0.7312
28000,0.5162
2000,0.3525
2000,0.3962
2000,0.3387
2000,0.5475
2000,0.3800
2000,0.6200
2000,0.6837
2000,0.5400
2000,0.4813
2000,0.5487
2000,0.5150
2000,0.5800
4000,0.6725
4000,0.3600
4000,0.5737
4000,0.3700
4000,0.5350
4000,0.6375
4000,0.5050
4000,0.5363
4000,0.4675
4000,0.4838
4000,0.7788
4000,0.6375
6000,0.4300
6000,0.6062
6000,0.6125
6000,0.4462
6000,0.5012
6000,0.5350
6000,0.5613
6000,0.4412
6000,0.3538
6000,0.4738
6000,0.3362
6000,1.0000
8000,0.6775
8000,0.6400
8000,0.7362
8000,0.5275
8000,0.4425
8000,0.4988
8000,0.3025
8000,0.4925
8000,0.5625
8000,0.4800
8000,0.6887
8000,1.0000
10000,0.3950
10000,0.4750
10000,0.5525
10000,0.5463
10000,0.5413
10000,0.6162
10000,0.5050
10000,0.2725
10000,0.5787
10000,0.4512
10000,0.7288
10000,1.0000
12000,0.4400
12000,0.4462
